location,cpu,monitor,cable
Ajusco,MZ035QLW,V5XDYL7C,CREDCFCRL_0398
Ajusco,MZ035QM8,V5XDYL7T,CREDCFCRL_0399
Ajusco,MZ035QM5,V5XDYL77,CREDCFCRL_0400
Ajusco,MZ035QM2,V5XDYL7M,CREDCFCRL_0401
Ajusco,MZ035QM9,V5XDYL7N,CREDCFCRL_0402
Ajusco,MZ035QLM,V5XDYL7G,CREDCFCRL_0403
Ajusco,MZ035QLK,V5XDYL7B,CREDCFCRL_0404
Ajusco,MZ035QR0,V5XDYL6H,CREDCFCRL_0405
Ajusco,MZ035QQP,V5XDYL6P,CREDCFCRL_0406
Ajusco,MZ035QSB,V5XDYL6W,CREDCFCRL_0407
Ajusco,MZ035QLE,V5XDYL6R,CREDCFCRL_0408
Ajusco,MZ035QLZ,V5XDYL6T,CREDCFCRL_0409
Ajusco,MZ035QLT,V5XDYL6N,CREDCFCRL_0410
Ajusco,MZ035QBH,V5XDYL6M,CREDCFCRL_0411
Ajusco,MZ035QLF,V5XDYL6Y,CREDCFCRL_0412
Ajusco,MZ035QM3,V5XDYL6Z,CREDCFCRL_0413
